epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.3575,1.34048,2.66831,1.51018,0.00481,0.98413,0.47167,0.34397,0.85153,3.05998,1.38802,0.00016,0.00016,0.00016
2,148.599,0.7931,2.23398,1.17192,0.00488,1,0.65209,0.45165,0.75448,2.87945,1.24736,0.000338878,0.000338878,0.000338878
3,222.062,0.76775,1.70105,1.13747,1,0.28301,0.80751,0.62614,0.90155,2.6044,1.36019,0.000516568,0.000516568,0.000516568
4,290.378,0.82086,1.29484,1.14518,0.62334,0.73016,0.75219,0.40606,1.37808,2.56608,1.79835,0.00069307,0.00069307,0.00069307
5,358.82,0.86529,1.23944,1.24046,0.7211,0.6977,0.83937,0.4438,1.18924,2.50178,1.63672,0.000868384,0.000868384,0.000868384
6,429.096,0.84987,1.17003,1.18585,0.52994,0.60848,0.56866,0.25194,1.33703,2.73642,1.88653,0.00104251,0.00104251,0.00104251
7,498.518,0.85512,1.14644,1.20206,0.87389,0.65079,0.79878,0.45475,1.25324,2.33145,1.98461,0.00121545,0.00121545,0.00121545
8,569.937,0.80309,1.06419,1.18739,0.65364,0.77884,0.74324,0.47282,1.30047,2.37765,1.89636,0.0013872,0.0013872,0.0013872
9,642.849,0.86509,1.09945,1.16761,0.43854,0.44444,0.40053,0.17901,1.61922,2.74827,2.2066,0.00155776,0.00155776,0.00155776
10,716.225,0.92545,1.04319,1.2044,0.58802,0.36254,0.41799,0.23036,1.63935,2.91089,1.99145,0.00172713,0.00172713,0.00172713
11,791.521,0.82911,1.04283,1.24194,0.32398,0.47619,0.27975,0.17242,1.6886,3.20544,2.27256,0.00189532,0.00189532,0.00189532
12,867.578,0.81901,0.94792,1.18611,0.26264,0.42408,0.21516,0.10433,1.89128,3.1423,2.42352,0.0019274,0.0019274,0.0019274
13,943.596,0.83166,1.07272,1.21096,0.53642,0.5873,0.45583,0.24038,1.70837,2.62215,2.2836,0.0019208,0.0019208,0.0019208
14,1019.7,0.77738,0.90649,1.18413,0.66948,0.79365,0.73984,0.44281,1.34659,2.02854,1.89088,0.0019142,0.0019142,0.0019142
15,1096.41,0.81068,0.8824,1.16428,0.53375,0.7087,0.63897,0.37768,1.4215,2.46609,2.27192,0.0019076,0.0019076,0.0019076
16,1176.22,0.74972,0.83218,1.16307,0.70619,0.61905,0.72621,0.29796,1.43585,2.66911,2.24072,0.001901,0.001901,0.001901
17,1254.27,0.79173,0.83443,1.18343,0.33042,0.66667,0.34337,0.25259,1.04623,2.56877,1.69315,0.0018944,0.0018944,0.0018944
18,1341.16,0.81939,0.88421,1.15719,0.85703,0.85633,0.90366,0.6285,1.10785,1.51999,1.61088,0.0018878,0.0018878,0.0018878
19,1434.96,0.77947,0.81909,1.12372,0.71942,0.90476,0.86443,0.57853,1.0911,1.41259,1.7013,0.0018812,0.0018812,0.0018812
20,1521.75,0.73049,0.75745,1.1069,0.85693,0.88889,0.91117,0.62315,1.04178,1.42515,1.48496,0.0018746,0.0018746,0.0018746
21,1606.62,0.73919,0.71316,1.13539,0.80665,0.92714,0.88428,0.58687,1.12403,1.34569,1.52219,0.001868,0.001868,0.001868
22,1697.92,0.74332,0.71818,1.10989,0.85818,0.92063,0.92122,0.65351,0.96552,1.14794,1.39609,0.0018614,0.0018614,0.0018614
23,1788.84,0.77167,0.73367,1.12012,0.91947,0.95238,0.97735,0.72713,0.94799,1.0229,1.44018,0.0018548,0.0018548,0.0018548
24,1882.27,0.79986,0.73942,1.13708,0.85554,0.93651,0.9431,0.65743,0.98771,1.03318,1.47712,0.0018482,0.0018482,0.0018482
25,1978.17,0.7282,0.64326,1.097,0.88588,0.93651,0.91541,0.64133,1.07213,1.08949,1.48974,0.0018416,0.0018416,0.0018416
26,2074.53,0.6932,0.66135,1.10542,0.77203,0.80638,0.8648,0.53452,1.09987,1.25602,1.54619,0.001835,0.001835,0.001835
27,2170.44,0.72116,0.66662,1.09836,0.94767,0.87302,0.95755,0.72743,0.88919,0.9759,1.34894,0.0018284,0.0018284,0.0018284
28,2266.53,0.71968,0.65924,1.10675,0.88789,0.75434,0.87252,0.61317,1.06936,1.16194,1.55918,0.0018218,0.0018218,0.0018218
29,2363.64,0.66239,0.58587,1.09732,0.88033,0.90476,0.8918,0.61888,1.06596,0.96821,1.56982,0.0018152,0.0018152,0.0018152
30,2461.38,0.69433,0.61303,1.10581,0.82657,0.88889,0.91696,0.64679,1.08711,1.06374,1.53983,0.0018086,0.0018086,0.0018086
31,2558.1,0.69196,0.61502,1.11084,0.81529,0.84074,0.81925,0.56017,1.13417,1.18848,1.54629,0.001802,0.001802,0.001802
32,2654.67,0.68276,0.62537,1.09495,0.94151,0.98413,0.99089,0.75256,0.85536,0.76554,1.29603,0.0017954,0.0017954,0.0017954
33,2750.2,0.72262,0.66898,1.08999,0.9636,0.95238,0.98436,0.73728,0.86759,0.8169,1.36769,0.0017888,0.0017888,0.0017888
